# First table of numbers are bin boundaries. 
# Second table of numbers are bin mid-points for energy WPs.
# This means Ecm in the 2nd table is the mid-point of the corresponding Ecm boundaries.
# 
# BOUNDARIES: 
# 
# Index                  q [MeV]                Ecm [MeV]               Tlab [MeV]
      0          +0.00000000e+00          +0.00000000e+00          +0.00000000e+00
      1          +1.57092553e+00          +1.97126297e-03          +2.95957377e-03
      2          +4.71588029e+00          +1.77647423e-02          +2.66712216e-02
      3          +7.87017068e+00          +4.94768075e-02          +7.42821462e-02
      4          +1.10401028e+01          +9.73597837e-02          +1.46170768e-01
      5          +1.42321076e+01          +1.61797498e-01          +2.42912713e-01
      6          +1.74527939e+01          +2.43311865e-01          +3.65290675e-01
      7          +2.07090044e+01          +3.42571958e-01          +5.14308002e-01
      8          +2.40078759e+01          +4.60405860e-01          +6.91206434e-01
      9          +2.73569043e+01          +5.97815636e-01          +8.97488524e-01
     10          +3.07640170e+01          +7.55995920e-01          +1.13494546e+00
     11          +3.42376526e+01          +9.36356713e-01          +1.40569118e+00
     12          +3.77868512e+01          +1.14055117e+00          +1.71220398e+00
     13          +4.14213562e+01          +1.37050933e+00          +2.05737697e+00
     14          +4.51517313e+01          +1.62847907e+00          +2.44457933e+00
     15          +4.89894945e+01          +1.91707579e+00          +2.87773061e+00
     16          +5.29472745e+01          +2.23934283e+00          +3.36139115e+00
     17          +5.70389930e+01          +2.59882518e+00          +3.90087219e+00
     18          +6.12800788e+01          +2.99965976e+00          +4.50237085e+00
     19          +6.56877222e+01          +3.44668642e+00          +5.17313592e+00
     20          +7.02811771e+01          +3.94558515e+00          +5.92167288e+00
     21          +7.50821238e+01          +4.50304684e+00          +6.75799873e+00
     22          +8.01151071e+01          +5.12698683e+00          +7.69396081e+00
     23          +8.54080685e+01          +5.82681418e+00          +8.74363842e+00
     24          +9.09929988e+01          +6.61377359e+00          +9.92385259e+00
     25          +9.69067417e+01          +7.50138318e+00          +1.12548185e+01
     26          +1.03191995e+02          +8.50600011e+00          +1.27609879e+01
     27          +1.09898565e+02          +9.64755828e+00          +1.44721467e+01
     28          +1.17084957e+02          +1.09505408e+01          +1.64248614e+01
     29          +1.24820404e+02          +1.24452760e+01          +1.86644047e+01
     30          +1.33187495e+02          +1.41696874e+01          +2.12473529e+01
     31          +1.42285608e+02          +1.61716865e+01          +2.42451340e+01
     32          +1.52235451e+02          +1.85124953e+01          +2.77489481e+01
     33          +1.63185169e+02          +2.12713345e+01          +3.18767004e+01
     34          +1.75318663e+02          +2.45521579e+01          +3.67829438e+01
     35          +1.88867134e+02          +2.84935229e+01          +4.26734247e+01
     36          +2.04125397e+02          +3.32833821e+01          +4.98268322e+01
     37          +2.21475450e+02          +3.91818152e+01          +5.86281386e+01
     38          +2.41421356e+02          +4.65569732e+01          +6.96211570e+01
     39          +2.64642321e+02          +5.59437998e+01          +8.35940981e+01
     40          +2.92076099e+02          +6.81436522e+01          +1.01724094e+02
     41          +3.25055080e+02          +8.44009398e+01          +1.25832137e+02
     42          +3.65538435e+02          +1.06733184e+02          +1.58856459e+02
     43          +4.16529977e+02          +1.38588084e+02          +2.05787769e+02
     44          +4.82881735e+02          +1.86257995e+02          +2.75663934e+02
     45          +5.72974165e+02          +2.62242724e+02          +3.86259528e+02
     46          +7.02636623e+02          +3.94361883e+02          +5.76628951e+02
     47          +9.05788669e+02          +6.55370870e+02          +9.47303492e+02
     48          +1.27062047e+03          +1.28962981e+03          +1.83007219e+03
     49          +2.12049488e+03          +3.59176425e+03          +4.95824340e+03
     50          +6.36567412e+03          +3.23684699e+04          +4.34252375e+04
# 
# BIN MID-POINTS: 
# 
# Index                  q [MeV]                Ecm [MeV]               Tlab [MeV]
      0          +1.11074521e+00          +9.85512798e-04          +1.47960883e-03
      1          +3.51456674e+00          +9.86681435e-03          +1.48136220e-02
      2          +6.48725585e+00          +3.36167264e-02          +5.04706392e-02
      3          +9.58648321e+00          +7.34094548e-02          +1.10213260e-01
      4          +1.27357310e+01          +1.29563038e-01          +1.94518453e-01
      5          +1.59231252e+01          +2.02530290e-01          +3.04065297e-01
      6          +1.91490804e+01          +2.92906636e-01          +4.39746709e-01
      7          +2.24178492e+01          +4.01440563e-01          +6.02685101e-01
      8          +2.57353725e+01          +5.29047034e-01          +7.94252459e-01
      9          +2.91085972e+01          +6.76824267e-01          +1.01609546e+00
     10          +3.25452491e+01          +8.46074422e-01          +1.27016645e+00
     11          +3.60537785e+01          +1.03832889e+00          +1.55876126e+00
     12          +3.96433874e+01          +1.25537906e+00          +1.88456530e+00
     13          +4.33241013e+01          +1.49931364e+00          +2.25070934e+00
     14          +4.71068728e+01          +1.77256396e+00          +2.66083734e+00
     15          +5.10037149e+01          +2.07795906e+00          +3.11918874e+00
     16          +5.50278623e+01          +2.41879270e+00          +3.63069880e+00
     17          +5.91939643e+01          +2.79890539e+00          +4.20112102e+00
     18          +6.35183168e+01          +3.22278496e+00          +4.83717761e+00
     19          +6.80191382e+01          +3.69569071e+00          +5.54674483e+00
     20          +7.27169016e+01          +4.22380732e+00          +6.33908291e+00
     21          +7.76347344e+01          +4.81443703e+00          +7.22512282e+00
     22          +8.27989048e+01          +5.47624099e+00          +8.21782650e+00
     23          +8.82394147e+01          +6.21954485e+00          +9.33264248e+00
     24          +9.39907298e+01          +7.05672853e+00          +1.05880870e+01
     25          +1.00092685e+02          +8.00272786e+00          +1.20064912e+01
     26          +1.06591617e+02          +9.07568620e+00          +1.36149714e+01
     27          +1.13541791e+02          +1.02978093e+01          +1.54467005e+01
     28          +1.21007217e+02          +1.16964997e+01          +1.75425947e+01
     29          +1.29063995e+02          +1.33058793e+01          +1.99535742e+01
     30          +1.37803355e+02          +1.51688601e+01          +2.27436364e+01
     31          +1.47335668e+02          +1.73400026e+01          +2.59940897e+01
     32          +1.57795809e+02          +1.98895196e+01          +2.98094812e+01
     33          +1.69350414e+02          +2.29089872e+01          +3.43260341e+01
     34          +1.82207892e+02          +2.65196466e+01          +3.97238941e+01
     35          +1.96632473e+02          +3.08847330e+01          +4.62452790e+01
     36          +2.12964350e+02          +3.62282356e+01          +5.42220304e+01
     37          +2.31649219e+02          +4.28642320e+01          +6.41185754e+01
     38          +2.53282824e+02          +5.12442151e+01          +7.66010136e+01
     39          +2.78680193e+02          +6.20362548e+01          +9.26522237e+01
     40          +3.08987262e+02          +7.62631115e+01          +1.13771749e+02
     41          +3.45868718e+02          +9.55555539e+01          +1.42340343e+02
     42          +3.91840904e+02          +1.22645864e+02          +1.82325287e+02
     43          +4.50900777e+02          +1.62403481e+02          +2.40748187e+02
     44          +5.29814379e+02          +2.24223356e+02          +3.31035775e+02
     45          +6.41053287e+02          +3.28262770e+02          +4.81665358e+02
     46          +8.10553234e+02          +5.24803174e+02          +7.62641984e+02
     47          +1.10332142e+03          +9.72383237e+02          +1.39090595e+03
     48          +1.74789002e+03          +2.44040313e+03          +3.40178023e+03
     49          +4.74409552e+03          +1.79779520e+04          +2.42104766e+04

