# Converted with examples/convert_dsigma_units.py: mb/sr -> fm2/sr
Generated by GetData Graph Digitizer 2.26.0.20 on April 17 2023, 13:42
from file 'C:\Users\tbt\Nutstore\1\physics\nuclear\D_nuclear_experiment\code\DSigamaOverDOmega.jpg' unit fm^2/sr

Line #1
 theta    SigamaDA
2.64587973273942e+01    6.05348476514821e-01
3.12694877505568e+01    4.42342697829071e-01
3.56792873051225e+01    3.13247498700453e-01
4.04899777282851e+01    2.39926384242385e-01
4.48997772828508e+01    1.72591374783817e-01
4.93095768374165e+01    1.40753370634175e-01
5.37193763919822e+01    1.04477925784982e-01
5.81291759465479e+01    7.87775753261022e-02
6.25389755011136e+01    6.32455532033676e-02
6.69487750556793e+01    5.23940585187354e-02
7.09576837416481e+01    4.34044328656216e-02
7.49665924276169e+01    3.43043458702170e-02
7.89755011135857e+01    2.75407985440072e-02
8.49888641425390e+01    2.21107724167425e-02
9.10022271714922e+01    1.80319888457917e-02
9.70155902004454e+01    1.64123077777590e-02
1.03028953229399e+02    1.38112830985666e-02
1.09042316258352e+02    1.29713359987853e-02
1.15055679287305e+02    1.29713359987853e-02
1.21069042316258e+02    1.25707170161841e-02
1.27082405345212e+02    1.47056202111034e-02
1.33496659242762e+02    1.56578693123492e-02
1.39109131403118e+02    1.80319888457917e-02
1.45523385300668e+02    2.04428888159166e-02
1.51536748329621e+02    2.66902025303230e-02
1.57951002227171e+02    3.07370961347293e-02
1.62761692650334e+02    3.53975987151927e-02
1.69977728285078e+02    4.47876984114629e-02
