# Miller & Ekström PRC 107, 014002 (2023) Fig. 6 top panel, experimental markers.
# Diamond markers = nd data from EXFOR [52] (Bunker 1968, Nucl. Phys. A 113, 461).
# Draft values from visual PDF read; error bars read from plot span (~0.015).
# E_Lab = 10 MeV (nominal; actual Bunker 1968 points are at pd E_p ≈ 10 MeV).
theta_cm_deg,Ay,Ay_err
30.0,0.015,0.015
45.0,0.035,0.015
60.0,0.065,0.020
75.0,0.115,0.020
90.0,0.150,0.020
105.0,0.180,0.020
120.0,0.190,0.020
135.0,0.175,0.020
150.0,0.125,0.020
165.0,0.060,0.020
